Category,Sub-Category,Product Name,Average_Price_Per_Unit,Average_Discount,Average_Profit_Per_Sale
Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",118.08019999999999,0.51,-56.6303
Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",213.024925,0.18375,97.541275
Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",206.052,0.26666666666666666,-21.0735
Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",205.795075,0.31625,1.8811250000000026
Furniture,Bookcases,Bestar Classic Bookcase,68.49315,0.315,-76.61733749999999
Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",99.99166666666666,0.16666666666666666,15.06541111111111
Furniture,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",91.68599999999999,0.3,-117.882
Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",169.41799999999998,0.2333333333333333,16.2052
Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",108.025925,0.23374999999999999,-26.0813
Furniture,Bookcases,Bush Mission Pointe Library,124.81013333333333,0.17333333333333334,8.052266666666668
Furniture,Bookcases,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.833,0.15,-12.6882
Furniture,Bookcases,Bush Somerset Collection Bookcase,103.14675,0.2125,-14.08035
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",44.45133333333333,0.2333333333333333,-32.4688
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",30.294,0.7,-190.8522
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",81.2889,0.19499999999999998,12.285899999999998
Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",44.6446,0.22999999999999998,-2.2547777777777793
Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,409.13366666666667,0.18333333333333335,15.029400000000003
Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",430.98,0.0,103.43520000000001
Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,75.735,0.25,-47.965500000000006
Furniture,Bookcases,"Hon Metal Bookcases, Black",53.66088,0.244,-5.394479999999999
